Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Alzheimer disease	29/171	7.114125e-09	1.115001e-07	0	0	3.966305e+00	7.441257e+01	APP;NDUFB9;COX7B;NDUFB7;CALML5;NDUFB3;COX7A2;COX6A1;COX5B;COX7C;COX5A;HSD17B10;UQCRH;RTN4;CAPN2;APOE;CYC1;COX8A;NDUFA4;NDUFA1;COX6C;COX6B1;IL1B;NDUFS5;NDUFAB1;CYCS;CALM3;CALM2;GAPDH
KEGG_2019_Human	Pathways in cancer	59/530	7.245492e-09	1.115001e-07	0	0	2.466570e+00	4.623064e+01	ITGB1;CDKN1A;HSP90AB1;CXCL8;CALML5;SLC2A1;LAMC2;LAMC1;CCND1;CDH1;MYC;PIM1;RAC2;PIM2;RAC1;HSP90AA1;GSTO1;ITGA3;MMP1;MMP2;FOS;RHOA;COL4A2;COL4A1;CKS2;ITGA6;MET;FH;GSTP1;CXCR4;KLK3;HIF1A;EGFR;HSP90B1;ERBB2;NQO1;JUN;JUP;LAMB3;STAT1;TXNRD1;FN1;IGF2;LAMB1;GNG12;NFKBIA;BMP4;IL6;CDK4;GNB2;IL2RB;GSTA1;GNAS;CTNNB1;CYCS;CALM3;CALM2;FGFR2;BCL2L1
KEGG_2019_Human	Rheumatoid arthritis	20/91	1.755766e-08	2.559722e-07	0	0	5.440931e+00	9.716293e+01	CXCL6;ATP6V1G1;JUN;HLA-DRB5;CXCL8;ATP6V0E1;MMP1;MMP3;CXCL1;FOS;CXCL5;IL1A;IL6;CTSL;CTSK;IL1B;CCL3;HLA-DRA;HLA-DRB1;ATP6V1F
KEGG_2019_Human	Epstein-Barr virus infection	31/201	2.220240e-08	3.075032e-07	0	0	3.543556e+00	6.244832e+01	CDKN1A;CD3D;PSMD4;CCND1;IRAK1;MYC;PSMD2;PSMD3;RAC1;B2M;PDIA3;HLA-DRB5;JUN;STAT1;ADRM1;HLA-B;HLA-C;ISG15;HLA-A;HLA-E;NFKBIA;FCER2;IL6;PSMC4;CDK4;HLA-DRA;CYCS;CALR;VIM;HLA-DRB1;CD44
KEGG_2019_Human	Parkinson disease	25/142	3.574599e-08	4.581045e-07	0	0	4.138286e+00	7.095848e+01	NDUFB9;COX7B;NDUFB7;NDUFB3;COX7A2;PARK7;COX6A1;COX5B;COX7C;COX5A;UQCRH;UCHL1;UBB;CYC1;COX8A;NDUFA4;NDUFA1;COX6C;COX6B1;NDUFS5;NDUFAB1;CYCS;VDAC1;SLC25A5;SLC25A6
KEGG_2019_Human	Salmonella infection	19/86	3.638375e-08	4.581045e-07	0	0	5.473048e+00	9.374862e+01	JUN;CXCL8;ARPC1B;ARPC1A;CXCL1;FOS;ACTB;ACTG1;IL1A;IL6;ARPC3;IL1B;CCL3;MYH9;FLNA;RAC1;PFN1;PFN2;RAB7A
KEGG_2019_Human	Amoebiasis	20/96	4.580056e-08	5.515980e-07	0	0	5.081633e+00	8.587436e+01	SERPINB1;CXCL8;LAMB3;FN1;HSPB1;LAMC2;CXCL1;LAMB1;LAMC1;ACTN4;COL1A1;COL3A1;IL6;COL1A2;COL4A2;COL4A1;IL1B;GNAS;CTSG;RAB7A
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	32/219	4.918090e-08	5.676295e-07	0	0	3.325761e+00	5.596511e+01	CDKN1A;SLC2A1;CD3D;CDC20;CCND1;MYC;TSPO;B2M;EGR1;HLA-DRB5;JUN;MMP7;HLA-B;HLA-C;HLA-A;FOS;HLA-E;FOSL1;NFKBIA;IL6;CDK4;CANX;IL2RB;HLA-DRA;VDAC1;CALR;SLC25A5;HLA-DRB1;RAN;ATF4;BCL2L1;SLC25A6
KEGG_2019_Human	Human papillomavirus infection	41/330	7.620094e-08	8.443064e-07	0	0	2.767989e+00	4.536705e+01	ITGB1;CDKN1A;ITGB4;TNC;LAMC2;LAMC1;THBS2;THBS1;EGFR;SLC9A3R1;CCND1;SPP1;EIF4EBP1;ITGB7;ATP6V1F;BCAP31;HES6;ATP6V1G1;ATP6V0E1;LAMB3;STAT1;ITGA3;HLA-B;FN1;HLA-C;ISG15;LAMB1;HLA-A;HLA-E;COL1A1;COL1A2;PKM;COL4A2;COL4A1;CDK4;COL6A2;COL6A1;GNAS;CTNNB1;COL6A3;ITGA6
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	20/100	9.389886e-08	1.000384e-06	0	0	4.826531e+00	7.809832e+01	EGR1;JUN;CXCL8;STAT1;MMP2;SERPINE1;FN1;F3;COL1A1;IL1A;IL6;COL3A1;COL1A2;CCND1;COL4A2;COL4A1;CDK4;IL1B;PIM1;RAC1
KEGG_2019_Human	Type I diabetes mellitus	13/43	1.018152e-07	1.044549e-06	0	0	8.328605e+00	1.340914e+02	HLA-DRB5;PRF1;HLA-B;GZMB;HLA-C;HLA-A;HSPD1;HLA-E;IL1A;IL1B;CPE;HLA-DRA;HLA-DRB1
KEGG_2019_Human	Apoptosis	24/143	1.703395e-07	1.685144e-06	0	0	3.901570e+00	6.080782e+01	JUN;PARP1;CTSZ;PRF1;GZMB;FOS;ACTB;ACTG1;NFKBIA;TUBA1C;TUBA1B;TUBA1A;CTSL;DDIT3;CTSK;LMNA;CAPN2;CYCS;CTSH;CTSD;ATF4;MCL1;BCL2L1;CTSB
KEGG_2019_Human	Cardiac muscle contraction	17/78	2.332166e-07	2.227621e-06	0	0	5.369361e+00	8.199711e+01	COX8A;COX7B;TPM4;TPM2;TPM1;ATP1B3;COX7A2;ATP1A1;COX6A1;ATP1B1;COX5B;COX6C;COX7C;COX5A;UQCRH;COX6B1;CYC1
KEGG_2019_Human	Hematopoietic cell lineage	19/97	2.761579e-07	2.549858e-06	0	0	4.698476e+00	7.095776e+01	HLA-DRB5;TFRC;ITGA3;DNTT;CD3D;IL1A;FCER2;IL6;ANPEP;IL1B;HLA-DRA;CD9;ITGA6;CD59;CD24;MS4A1;HLA-DRB1;CD44;CD55
KEGG_2019_Human	Human cytomegalovirus infection	31/225	3.043741e-07	2.636830e-06	0	0	3.101220e+00	4.653384e+01	CDKN1A;CXCL8;CALML5;CXCR4;EGFR;CCND1;MYC;RAC2;EIF4EBP1;CCL3;RAC1;B2M;PDIA3;HLA-B;HLA-C;HLA-A;GNG12;RHOA;HLA-E;NFKBIA;IL6;CDK4;IL1B;GNB2;GNAS;CTNNB1;CYCS;CALM3;CALR;CALM2;ATF4
KEGG_2019_Human	Estrogen signaling pathway	23/137	3.046158e-07	2.636830e-06	0	0	3.900034e+00	5.851695e+01	HSPA8;JUN;HSP90AA1;HSP90AB1;CALML5;SHC1;MMP2;KRT13;FOS;KRT20;EGFR;HSP90B1;KRT19;KRT18;KRT17;KRT16;KRT14;GNAS;CALM3;TFF1;CALM2;CTSD;ATF4
KEGG_2019_Human	Regulation of actin cytoskeleton	30/214	3.221023e-07	2.703707e-06	0	0	3.162707e+00	4.727740e+01	ITGB1;ITGB4;ARPC1B;ARPC1A;CXCR4;BRK1;ACTB;MYL12A;EGFR;MYL12B;ACTG1;TMSB4X;CFL1;RAC2;ITGB7;RAC1;ITGA3;FN1;MSN;ACTN4;GNG12;RHOA;ARPC3;MYH9;ITGA6;PFN1;EZR;MYL9;FGFR2;PFN2
KEGG_2019_Human	Legionellosis	14/55	3.551958e-07	2.893801e-06	0	0	6.565725e+00	9.750493e+01	HSPA8;ARF1;VCP;CXCL8;RAB1B;CXCL1;HSPD1;EEF1A1;C3;NFKBIA;IL6;IL1B;EEF1A2;CYCS
KEGG_2019_Human	Huntington disease	28/193	3.879267e-07	3.070162e-06	0	0	3.288315e+00	4.854359e+01	NDUFB9;COX7B;NDUFB7;NDUFB3;COX7A2;COX5B;COX6A1;COX7C;COX5A;UQCRH;AP2S1;CYC1;AP2M1;TGM2;POLR2L;COX8A;GPX1;NDUFA4;NDUFA1;COX6C;COX6B1;SOD1;NDUFS5;NDUFAB1;CYCS;VDAC1;SLC25A5;SLC25A6
KEGG_2019_Human	Glutathione metabolism	14/56	4.519632e-07	3.477606e-06	0	0	6.409060e+00	9.363422e+01	GPX2;G6PD;GPX1;GPX4;GPX3;GSTO1;GSTP1;IDH1;ODC1;IDH2;PGD;ANPEP;GSTA1;SMS
KEGG_2019_Human	Graft-versus-host disease	12/41	4.696492e-07	3.516022e-06	0	0	7.945414e+00	1.157748e+02	IL1A;HLA-DRB5;IL6;IL1B;PRF1;HLA-B;GZMB;HLA-C;HLA-DRA;HLA-A;HLA-DRB1;HLA-E
KEGG_2019_Human	Central carbon metabolism in cancer	15/65	5.427089e-07	3.956062e-06	0	0	5.771574e+00	8.326472e+01	G6PD;PGAM1;IDH1;SLC2A1;SLC1A5;HIF1A;EGFR;SLC7A5;LDHA;PKM;MYC;ERBB2;MET;FGFR2;PFKP
KEGG_2019_Human	Small cell lung cancer	18/93	6.815135e-07	4.840494e-06	0	0	4.625255e+00	6.567376e+01	ITGB1;CDKN1A;LAMB3;ITGA3;FN1;LAMC2;LAMB1;LAMC1;NFKBIA;CCND1;COL4A2;COL4A1;CDK4;MYC;CKS2;CYCS;ITGA6;BCL2L1
KEGG_2019_Human	Vibrio cholerae infection	13/50	7.129517e-07	4.937191e-06	0	0	6.750431e+00	9.554461e+01	ARF1;ATP6V1G1;ATP6V0E1;KDELR1;ACTB;ACTG1;PDIA4;SEC61A1;SEC61G;GNAS;KDELR2;SEC61B;ATP6V1F
KEGG_2019_Human	Cell adhesion molecules (CAMs)	23/145	8.604209e-07	5.705675e-06	0	0	3.642750e+00	5.087409e+01	ITGB1;HLA-DRB5;SELPLG;SDC4;HLA-B;HLA-C;HLA-A;CLDN2;CLDN1;HLA-E;CLDN4;CLDN3;CDH1;MPZ;CLDN7;SDC1;HLA-DRA;CLDN18;ITGB7;ITGA6;CLDN16;CD99;HLA-DRB1
KEGG_2019_Human	Pertussis	16/76	8.651204e-07	5.705675e-06	0	0	5.132791e+00	7.165581e+01	ITGB1;CXCL6;JUN;CXCL8;CALML5;FOS;CXCL5;RHOA;C3;IL1A;IL6;IRAK1;IL1B;CFL1;CALM3;CALM2
KEGG_2019_Human	Cellular senescence	24/160	1.410884e-06	8.945157e-06	0	0	3.410800e+00	4.594790e+01	CDKN1A;CXCL8;CALML5;IGFBP3;SERPINE1;HLA-B;HLA-C;HLA-A;HLA-E;IL1A;CCNB1;IL6;CCND1;CDK4;MYC;CAPN2;EIF4EBP1;VDAC1;CALM3;MYBL2;SLC25A5;SQSTM1;CALM2;SLC25A6
KEGG_2019_Human	Proteasome	12/45	1.420891e-06	8.945157e-06	0	0	6.980861e+00	9.399189e+01	PSMB7;PSMB4;PSMB5;PSMD4;PSMB3;PSMC4;PSMD2;POMP;PSMD3;ADRM1;PSME1;PSMA7
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	26/186	2.045981e-06	1.259415e-05	0	0	3.143224e+00	4.117508e+01	CDKN1A;CXCL8;CALML5;CXCL1;HIF1A;C3;CCND1;UBB;MYC;RAC1;JUN;STAT1;HLA-B;HLA-C;HLA-A;FOS;GNG12;HLA-E;NFKBIA;IL6;CDK4;GNB2;CYCS;CTNNB1;CALM3;CALM2
KEGG_2019_Human	Oxidative phosphorylation	21/133	2.748520e-06	1.655087e-05	0	0	3.617467e+00	4.631967e+01	COX8A;NDUFB9;ATP6V1G1;COX7B;ATP6V0E1;NDUFB7;NDUFA4;NDUFB3;NDUFA1;COX7A2;COX6A1;COX5B;COX6C;COX7C;COX5A;UQCRH;COX6B1;NDUFS5;NDUFAB1;CYC1;ATP6V1F
KEGG_2019_Human	Bacterial invasion of epithelial cells	15/74	3.131163e-06	1.845388e-05	0	0	4.888841e+00	6.196169e+01	ITGB1;SHC1;ARPC1B;CAV1;ARPC1A;FN1;ACTB;RHOA;ACTG1;CTTN;CDH1;ARPC3;CTNNB1;RAC1;MET
KEGG_2019_Human	Bladder cancer	11/41	3.660142e-06	2.112207e-05	0	0	7.033030e+00	8.803953e+01	CDKN1A;CXCL8;CCND1;CDH1;MMP1;CDK4;MYC;MMP2;ERBB2;THBS1;EGFR
KEGG_2019_Human	Prostate cancer	17/97	5.739510e-06	3.244580e-05	0	0	4.090031e+00	4.935905e+01	CDKN1A;HSP90AA1;HSP90AB1;GSTP1;MMP3;PLAT;KLK3;EGFR;HSP90B1;NFKBIA;CCND1;SPINT1;PLAU;ERBB2;CTNNB1;FGFR2;ATF4
KEGG_2019_Human	Complement and coagulation cascades	15/79	7.325107e-06	4.058109e-05	0	0	4.505711e+00	5.327644e+01	FGB;FGA;SERPINA1;SERPINB2;SERPIND1;SERPINE1;PLAT;CLU;F3;C3;PROCR;PLAU;CD59;A2M;CD55
KEGG_2019_Human	Hepatitis C	22/155	9.559259e-06	5.191990e-05	0	0	3.191060e+00	3.688228e+01	YWHAE;CDKN1A;YWHAB;STAT1;CLDN2;CLDN1;YWHAZ;EGFR;NFKBIA;CLDN4;CLDN3;CCND1;YWHAQ;CDK4;MYC;CLDN7;CYCS;CLDN18;CTNNB1;EIF3E;CLDN16;YWHAG
KEGG_2019_Human	Leishmaniasis	14/74	1.533399e-05	8.168299e-05	0	0	4.482082e+00	4.968585e+01	ITGB1;JUN;MARCKSL1;HLA-DRB5;STAT1;CYBA;FOS;C3;NFKBIA;IL1A;IRAK1;IL1B;HLA-DRA;HLA-DRB1
KEGG_2019_Human	Shigellosis	13/65	1.643855e-05	8.591470e-05	0	0	4.799392e+00	5.286953e+01	ITGB1;CXCL8;ARPC1B;ARPC1A;ACTB;ACTG1;NFKBIA;CTTN;ARPC3;RAC1;PFN1;CD44;PFN2
KEGG_2019_Human	Human immunodeficiency virus 1 infection	26/212	2.247221e-05	1.152741e-04	0	0	2.700117e+00	2.889998e+01	CALML5;CXCR4;CD3D;CCNB1;IRAK1;CFL1;RAC2;AP1S1;RAC1;B2M;PDIA3;JUN;HLA-B;HLA-C;HLA-A;FOS;GNG12;HLA-E;BST2;NFKBIA;GNB2;CYCS;CALM3;CALR;CALM2;BCL2L1
KEGG_2019_Human	HIF-1 signaling pathway	16/100	3.487908e-05	1.756637e-04	0	0	3.661634e+00	3.758163e+01	CDKN1A;TFRC;SERPINE1;RPS6;SLC2A1;ENO1;HIF1A;EGFR;LDHA;IL6;ERBB2;EIF4EBP1;PGK1;TIMP1;ALDOA;GAPDH
KEGG_2019_Human	Thyroid hormone synthesis	13/74	6.907774e-05	3.416881e-04	0	0	4.089342e+00	3.917703e+01	GPX2;GPX1;HSPA5;GPX3;ATP1B3;ATP1A1;ATP1B1;PDIA4;HSP90B1;CANX;ALB;GNAS;ATF4
KEGG_2019_Human	Allograft rejection	9/38	8.259951e-05	4.014047e-04	0	0	5.941021e+00	5.585455e+01	HLA-DRB5;PRF1;HLA-B;GZMB;HLA-C;HLA-DRA;HLA-A;HLA-DRB1;HLA-E
KEGG_2019_Human	Protein export	7/23	9.256708e-05	4.420876e-04	0	0	8.364048e+00	7.768174e+01	SEC61A1;HSPA5;SEC61G;SEC61B;SRP14;SRP9;SEC11C
KEGG_2019_Human	Glycolysis / Gluconeogenesis	12/68	1.245824e-04	5.849037e-04	0	0	4.108733e+00	3.693975e+01	ALDH1A3;ALDH3A1;LDHB;LDHA;TPI1;PKM;PGAM1;PGK1;ENO1;ALDOA;GAPDH;PFKP
KEGG_2019_Human	Cell cycle	17/124	1.477502e-04	6.821134e-04	0	0	3.053603e+00	2.693274e+01	YWHAE;CDKN1A;PCNA;MCM7;YWHAB;CDC6;YWHAZ;CDC20;CCNB1;CCND1;YWHAQ;CDK4;MYC;RAD21;MCM3;SFN;YWHAG
KEGG_2019_Human	Transcriptional misregulation in cancer	22/186	1.594969e-04	7.242729e-04	0	0	2.583620e+00	2.258985e+01	DDX5;CDKN1A;CEBPB;CXCL8;JUP;IGFBP3;MMP3;GZMB;PLAT;MPO;IL6;MYCN;SPINT1;PLAU;MYC;DDIT3;ID2;IL2RB;ITGB7;MET;ELANE;BCL2L1
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	12/72	2.187604e-04	9.773649e-04	0	0	3.834008e+00	3.231123e+01	ITGB1;DSP;GJA1;JUP;ITGB4;ITGA3;LMNA;CTNNB1;ITGB7;ITGA6;ACTB;ACTG1
KEGG_2019_Human	Tuberculosis	21/179	2.494246e-04	1.096677e-03	0	0	2.558035e+00	2.122236e+01	HSPA9;CD74;HLA-DRB5;CEBPB;CALML5;STAT1;CORO1A;RHOA;HSPD1;C3;IL1A;IL6;IRAK1;IL1B;HLA-DRA;CYCS;CALM3;CALM2;CTSD;HLA-DRB1;RAB7A
KEGG_2019_Human	Relaxin signaling pathway	17/130	2.634323e-04	1.138996e-03	0	0	2.890546e+00	2.382306e+01	JUN;SHC1;MMP1;MMP2;FOS;GNG12;EGFR;COL1A1;NFKBIA;ACTA2;COL3A1;COL1A2;COL4A2;COL4A1;GNB2;GNAS;ATF4
KEGG_2019_Human	Prion diseases	8/35	2.672735e-04	1.138996e-03	0	0	5.666965e+00	4.662347e+01	EGR1;PRNP;IL1A;IL6;HSPA5;IL1B;LAMC1;SOD1
KEGG_2019_Human	Th17 cell differentiation	15/107	2.778963e-04	1.166322e-03	0	0	3.129773e+00	2.562740e+01	HLA-DRB5;JUN;HSP90AA1;HSP90AB1;STAT1;FOS;HIF1A;CD3D;NFKBIA;IL6;IRF4;IL1B;IL2RB;HLA-DRA;HLA-DRB1
KEGG_2019_Human	Gastric acid secretion	12/75	3.241991e-04	1.340346e-03	0	0	3.650858e+00	2.933155e+01	CALML5;CA2;SST;GNAS;GAST;ATP1B3;CALM3;ATP1A1;ATP1B1;EZR;CALM2;ACTB
KEGG_2019_Human	Lysosome	16/123	4.194168e-04	1.708507e-03	0	0	2.871058e+00	2.232720e+01	CD63;CTSZ;LAPTM5;LAPTM4B;LAPTM4A;CTSL;NPC2;CTSK;PSAP;PPT1;AP1S1;CTSH;CTSG;CTSE;CTSD;CTSB
KEGG_2019_Human	Viral carcinogenesis	22/201	4.783763e-04	1.920438e-03	0	0	2.365231e+00	1.808245e+01	YWHAE;JUN;CDKN1A;YWHAB;HLA-B;HLA-C;ACTN4;HLA-A;YWHAZ;RHOA;HLA-E;CDC20;C3;NFKBIA;HNRNPK;PKM;CCND1;YWHAQ;CDK4;RAC1;YWHAG;ATF4
KEGG_2019_Human	Toxoplasmosis	15/113	5.049746e-04	1.998257e-03	0	0	2.937222e+00	2.229646e+01	ITGB1;HSPA8;HLA-DRB5;LAMB3;STAT1;LAMC2;LAMB1;LAMC1;NFKBIA;IRAK1;HLA-DRA;CYCS;ITGA6;HLA-DRB1;BCL2L1
KEGG_2019_Human	Thermogenesis	24/231	5.813967e-04	2.268266e-03	0	0	2.232478e+00	1.663213e+01	COX8A;NDUFB9;COX7B;NDUFB7;NDUFA4;RPS6;NDUFB3;NDUFA1;GCG;COX7A2;COX5B;COX6C;COX6A1;COX7C;COX5A;ACTB;UQCRH;ACTG1;COX6B1;NPPB;NDUFS5;NDUFAB1;GNAS;CYC1
KEGG_2019_Human	Malaria	9/49	6.355095e-04	2.444946e-03	0	0	4.304743e+00	3.168757e+01	IL6;CXCL8;IL1B;HBB;SDC1;HBA2;THBS2;MET;THBS1
KEGG_2019_Human	Ferroptosis	8/40	6.997872e-04	2.655357e-03	0	0	4.780242e+00	3.472719e+01	PRNP;TFRC;GPX4;PCBP1;FTH1;SLC3A2;SAT1;FTL
KEGG_2019_Human	Adherens junction	11/72	8.495132e-04	3.137535e-03	0	0	3.453215e+00	2.441715e+01	CDH1;ERBB2;RAC2;CTNNB1;RAC1;ACTN4;MET;ACTB;RHOA;EGFR;ACTG1
